file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Pedro\puc\6Semestre\Laboratorio\Analyze-java-repositories\repos\spring-boot\spring-boot-project\spring-boot-autoconfigure\src\main\java\org\springframework\boot\autoconfigure\web\servlet\WebMvcProperties.java,org.springframework.boot.autoconfigure.web.servlet.WebMvcProperties,class,9,16,7,9,23,1,0,0,237,0.93333346,0.031620555,0.031620555,23,0,23,0,0,0,23,0,0,0,15,0,0,15,0,0,7,0,0,223,15,0,0,0,0,3,0,21,0,15,0,0,8,0,113,1,0
D:\Pedro\puc\6Semestre\Laboratorio\Analyze-java-repositories\repos\spring-boot\spring-boot-project\spring-boot-autoconfigure\src\test\java\org\springframework\boot\autoconfigure\pulsar\PulsarConfigurationTests.java,org.springframework.boot.autoconfigure.pulsar.PulsarConfigurationTests$TopicResolverTests,innerclass,7,7,0,7,2,1,0,14,0,0.0,1.0,1.0,2,0,0,0,0,2,2,0,0,0,1,0,0,1,0,0,1,0,0,15,0,0,0,0,0,7,0,3,1,5,0,0,0,3,32,0,0
D:\Pedro\puc\6Semestre\Laboratorio\Analyze-java-repositories\repos\spring-boot\spring-boot-project\spring-boot-autoconfigure\src\test\java\org\springframework\boot\autoconfigure\SpringBootApplicationTests.java,org.springframework.boot.autoconfigure.SpringBootApplicationTests$TestBeanNameGenerator,innerclass,1,1,0,1,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0
D:\Pedro\puc\6Semestre\Laboratorio\Analyze-java-repositories\repos\spring-boot\spring-boot-project\spring-boot-autoconfigure\src\main\java\org\springframework\boot\autoconfigure\session\JdbcSessionProperties.java,org.springframework.boot.autoconfigure.session.JdbcSessionProperties,class,4,7,3,4,14,1,0,0,77,0.9,0.07692308,0.07692308,14,0,14,0,0,0,14,0,0,0,10,3,0,10,0,0,3,0,0,54,7,0,0,0,0,5,0,16,1,10,0,0,0,0,83,1,0
D:\Pedro\puc\6Semestre\Laboratorio\Analyze-java-repositories\repos\spring-boot\spring-boot-project\spring-boot-autoconfigure\src\test\java\org\springframework\boot\autoconfigure\web\servlet\WebMvcAutoConfigurationTests.java,org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfigurationTests$CustomRequestMappingHandlerMapping$Anonymous2,anonymous,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
D:\Pedro\puc\6Semestre\Laboratorio\Analyze-java-repositories\repos\spring-boot\spring-boot-project\spring-boot-actuator-autoconfigure\src\main\java\org\springframework\boot\actuate\autoconfigure\health\HealthEndpointConfiguration.java,org.springframework.boot.actuate.autoconfigure.health.HealthEndpointConfiguration$AdaptedReactiveHealthContributors,innerclass,8,8,0,8,7,1,0,6,8,0.6,1.0,1.0,5,0,0,3,0,2,2,0,0,0,1,0,0,1,0,0,1,0,1,52,5,0,0,0,0,1,0,2,1,4,1,2,0,1,24,10,0
D:\Pedro\puc\6Semestre\Laboratorio\Analyze-java-repositories\repos\spring-boot\spring-boot-project\spring-boot-autoconfigure\src\main\java\org\springframework\boot\autoconfigure\task\TaskExecutorConfigurations.java,org.springframework.boot.autoconfigure.task.TaskExecutorConfigurations$SimpleAsyncTaskExecutorBuilderConfiguration,innerclass,12,12,0,12,5,1,0,15,4,0.5,0.0,0.0,4,0,0,1,0,3,3,0,0,0,3,0,0,3,0,0,3,0,0,31,3,0,0,0,0,1,0,13,0,7,1,0,0,0,23,8,0
D:\Pedro\puc\6Semestre\Laboratorio\Analyze-java-repositories\repos\spring-boot\spring-boot-project\spring-boot-autoconfigure\src\test\java\org\springframework\boot\autoconfigure\ImportAutoConfigurationImportSelectorTests.java,org.springframework.boot.autoconfigure.ImportAutoConfigurationImportSelectorTests,class,33,34,1,33,19,2,0,21,0,0.6296296,1.0,1.0,18,0,0,1,0,17,17,0,0,0,3,0,0,3,0,0,3,0,0,146,1,1,0,0,0,7,0,35,0,35,1,0,16,0,87,0,0
D:\Pedro\puc\6Semestre\Laboratorio\Analyze-java-repositories\repos\spring-boot\spring-boot-project\spring-boot-autoconfigure\src\test\java\org\springframework\boot\autoconfigure\security\oauth2\resource\servlet\OAuth2ResourceServerAutoConfigurationTests.java,org.springframework.boot.autoconfigure.security.oauth2.resource.servlet.OAuth2ResourceServerAutoConfigurationTests$JwtDecoderConfig,innerclass,4,4,0,4,1,1,0,1,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0
D:\Pedro\puc\6Semestre\Laboratorio\Analyze-java-repositories\repos\spring-boot\spring-boot-project\spring-boot-actuator\src\main\java\org\springframework\boot\actuate\metrics\annotation\TimedAnnotations.java,org.springframework.boot.actuate.metrics.annotation.TimedAnnotations,class,4,7,3,4,7,1,0,10,3,0.6666667,NaN,NaN,3,2,1,2,0,0,1,0,0,0,1,1,0,1,0,0,1,0,4,25,5,0,2,0,1,0,0,5,0,4,1,0,0,0,36,17,0
